,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu_item
123,0,0,3.3,17,1,78,2638,200.0,9062
124,0,0,2.9,25,1,40,1496,200.0,9062
125,0,0,0.0,0,1,39,2574,400.0,9062
126,0,0,0.0,0,1,78,444,350.0,9062
127,0,0,3.3,8,1,39,2455,100.0,9062
128,0,0,0.0,0,1,78,2366,150.0,9062
129,0,0,0.0,0,1,78,2455,150.0,9062
130,0,0,0.0,0,1,92,512,200.0,9062
131,0,0,0.0,0,1,78,1818,100.0,9062
132,0,0,0.0,0,1,78,445,400.0,9062
133,0,0,0.0,0,1,14,373,200.0,9062
134,0,0,0.0,0,1,17,363,150.0,9062
135,0,0,0.0,0,1,92,2455,400.0,9062
136,0,0,0.0,0,1,78,2484,150.0,9062
137,0,0,0.0,0,1,78,55,250.0,9062
138,0,0,0.0,0,1,78,403,250.0,9062
139,0,0,0.0,0,1,78,2466,150.0,9062
140,0,0,0.0,0,1,38,1192,200.0,9062
141,0,0,0.0,0,1,80,1453,350.0,9062
142,0,0,0.0,0,1,78,2466,300.0,9062
143,0,0,0.0,0,1,92,2322,100.0,9062
144,0,0,0.0,0,1,78,2465,150.0,9062
145,1,0,4.0,771,1,27,2553,450.0,8126
146,0,0,3.0,98,1,8,1892,800.0,9062
147,1,0,3.9,47,4,78,2455,200.0,4832
148,1,1,4.1,175,32,27,2555,500.0,4795
149,1,0,3.8,58,1,78,2500,300.0,7112
150,1,0,3.8,540,4,27,2114,650.0,9062
151,1,0,3.8,124,49,78,935,400.0,9062
152,1,0,4.1,340,1,92,2163,500.0,9062
153,1,0,3.8,505,1,78,554,450.0,9062
154,0,0,0.0,0,1,78,1254,100.0,9062
155,1,0,4.1,438,32,40,1219,500.0,9062
156,1,0,3.7,264,57,27,1918,750.0,9062
157,1,0,3.9,169,49,14,379,150.0,9062
158,1,0,3.0,67,49,78,1892,250.0,9062
159,1,0,3.7,97,32,78,2152,350.0,9062
160,1,0,3.3,12,4,92,403,300.0,9062
161,1,0,3.3,12,1,78,403,300.0,5326
162,1,0,3.6,195,32,27,963,800.0,9062
163,1,0,3.3,13,4,47,1224,300.0,9062
164,1,0,4.6,228,32,19,608,400.0,9062
165,1,0,4.1,70,4,78,2484,150.0,3103
166,1,1,4.1,364,32,27,2691,1200.0,9062
167,1,0,3.7,107,4,14,367,150.0,9062
168,1,0,3.2,167,49,78,2562,300.0,7503
169,1,0,4.0,115,1,88,1756,400.0,9062
170,1,0,3.7,27,1,92,1559,400.0,9062
171,1,0,3.5,57,1,78,403,200.0,9062
172,1,0,3.8,120,1,78,2084,250.0,9062
173,1,0,3.8,15,4,0,260,400.0,9062
174,1,0,4.2,64,4,78,2386,500.0,9062
175,1,0,3.6,66,1,78,2455,150.0,9062
176,1,0,3.0,290,1,78,1921,450.0,9062
177,1,0,4.1,233,4,78,2620,200.0,9062
178,1,0,3.8,115,49,78,1357,250.0,9062
179,1,0,3.1,119,1,27,407,700.0,9062
180,1,1,3.9,291,32,19,621,650.0,4928
181,1,0,4.5,155,32,14,389,300.0,9062
182,1,0,4.1,305,49,27,1513,700.0,9062
183,1,0,3.6,46,1,78,1328,500.0,9062
184,1,0,3.5,45,49,78,323,350.0,9062
185,1,0,3.9,38,1,40,1489,150.0,9062
186,1,0,3.9,441,1,78,2556,400.0,9062
187,1,0,3.9,25,4,78,2455,100.0,5650
188,1,0,4.3,630,32,78,2287,200.0,9062
189,1,0,3.8,25,49,78,2455,150.0,1285
190,1,0,3.9,160,49,78,121,300.0,9062
191,1,0,4.2,287,1,78,1818,350.0,9062
192,1,0,3.6,11,4,78,2455,100.0,261
193,1,0,4.1,402,1,19,577,500.0,9062
194,1,0,3.8,469,4,27,1914,750.0,9062
195,1,0,3.3,511,49,27,244,550.0,9062
196,1,0,3.9,57,1,78,2568,200.0,4883
197,1,0,3.4,14,1,78,2455,300.0,9062
198,1,0,3.9,264,1,78,2455,200.0,9062
199,1,0,3.0,62,1,19,721,400.0,9062
200,1,0,3.8,693,1,27,2322,750.0,9062
201,1,0,3.8,242,32,27,1708,650.0,9062
202,1,0,3.6,27,4,40,1254,250.0,9062
203,1,0,4.1,163,4,78,1083,500.0,9062
204,1,0,4.2,191,4,78,2638,250.0,7110
205,1,0,3.5,32,1,78,2339,150.0,9062
206,1,0,2.5,247,1,27,1818,500.0,9062
207,1,1,4.1,2339,32,27,1909,1500.0,9062
208,1,0,4.1,337,32,78,863,300.0,9062
209,1,0,3.9,135,1,27,1930,800.0,9062
210,1,0,3.6,172,84,27,1892,700.0,9062
211,1,0,3.6,105,1,27,2709,700.0,9062
212,1,0,4.2,504,1,19,765,550.0,9062
213,1,0,3.2,36,49,78,1380,200.0,9062
214,1,0,3.1,39,49,78,1818,300.0,9062
215,1,0,3.1,5,49,27,1921,500.0,9062
216,1,0,0.0,0,4,78,1892,300.0,9062
217,1,1,4.3,1129,32,27,1567,1300.0,9062
218,1,0,3.9,56,49,78,1892,350.0,9062
219,1,0,4.3,860,1,40,1217,500.0,9062
220,1,0,3.8,412,32,27,108,700.0,9062
221,1,1,3.9,142,32,27,1712,1000.0,9062
222,1,0,3.0,23,32,78,55,400.0,9062
223,1,0,3.6,143,32,27,2469,750.0,9062
224,1,1,2.8,80,32,27,2460,500.0,9062
225,1,0,3.6,16,29,27,2455,400.0,9062
226,1,0,4.4,181,32,14,396,250.0,9062
227,1,0,3.8,70,32,78,2280,200.0,9062
228,1,0,3.8,164,4,78,2326,600.0,9062
229,1,0,3.6,58,49,78,618,650.0,9062
230,0,0,3.8,148,4,29,1888,550.0,9062
231,0,0,3.9,206,4,78,2540,450.0,9062
232,0,0,0.0,0,4,0,271,300.0,9062
233,0,0,0.0,0,29,40,1489,200.0,9062
234,0,0,3.6,16,57,78,2455,300.0,9062
235,0,0,3.7,217,4,27,2014,450.0,9062
236,0,0,3.6,46,4,78,111,450.0,9062
237,0,0,3.8,148,4,78,1380,150.0,9062
238,0,0,3.4,30,4,40,1192,250.0,9062
239,0,0,3.6,8,57,27,2203,800.0,9062
240,0,0,3.3,4,32,78,2455,250.0,9062
241,0,0,3.5,15,4,6,260,400.0,9062
242,0,0,0.0,0,4,78,2455,100.0,9062
243,0,0,0.0,0,84,78,1892,300.0,9062
244,0,0,0.0,0,32,78,2223,200.0,9062
245,1,0,3.4,9,84,78,2620,200.0,9062
246,0,0,0.0,0,87,78,1915,350.0,9062
247,1,0,3.7,31,57,78,2547,300.0,246
248,1,0,2.9,177,32,27,1917,700.0,9062
249,1,0,3.7,22,4,88,1746,250.0,9062
250,1,0,3.5,10,49,14,1580,100.0,5375
251,1,0,3.7,136,1,78,2380,600.0,9062
252,1,0,2.9,35,49,78,1892,250.0,9062
253,1,0,4.1,185,32,78,1585,200.0,9062
254,1,0,3.2,17,32,19,706,900.0,9062
255,1,0,3.8,155,57,27,2568,400.0,9062
256,1,0,3.8,42,1,78,2553,300.0,5205
257,1,0,3.8,286,4,27,1818,600.0,9062
258,1,0,3.8,160,1,27,1892,700.0,9062
259,1,0,3.8,59,1,27,1892,750.0,9062
260,1,0,3.5,90,32,27,2417,500.0,9062
261,1,0,3.7,51,49,78,2540,350.0,9062
262,1,0,4.0,89,32,78,2465,200.0,9062
263,1,0,3.6,18,1,78,1363,250.0,9062
264,1,0,3.9,40,4,27,2013,600.0,9062
265,1,0,2.5,35,4,78,1254,200.0,9062
266,1,0,3.4,89,32,78,1997,250.0,9062
267,1,0,3.2,11,4,78,356,150.0,9062
268,1,0,3.6,62,1,81,1539,600.0,9062
269,1,0,3.9,33,32,40,1192,300.0,9062
270,1,0,3.8,32,32,88,1224,250.0,9062
271,1,0,4.1,139,32,27,2009,550.0,9062
272,1,0,3.2,154,87,78,1254,300.0,9062
273,1,0,3.6,14,1,0,271,350.0,9062
274,1,0,3.7,237,1,78,2512,200.0,5653
275,1,0,3.9,388,1,27,506,650.0,9062
276,1,0,0.0,0,32,78,2484,300.0,4870
277,1,0,3.9,128,49,27,2509,500.0,170
278,1,1,4.1,1875,32,27,1821,1200.0,9062
279,1,0,3.8,90,1,19,577,650.0,9062
280,1,0,3.1,7,49,78,1529,250.0,4424
281,1,0,3.7,38,84,27,2547,400.0,6716
282,1,0,4.2,179,1,39,2306,600.0,9062
283,1,0,4.0,43,4,40,1217,250.0,9062
284,1,0,4.3,275,4,78,2455,100.0,4852
285,1,0,3.7,323,32,27,985,850.0,9062
286,1,0,3.1,28,84,27,2553,400.0,4860
287,1,0,3.9,18,4,78,2523,200.0,9062
288,1,0,3.3,6,4,78,2638,100.0,9062
289,1,0,0.0,0,4,40,343,100.0,9062
290,1,0,4.3,322,32,27,2455,400.0,9062
291,1,0,2.6,157,32,19,594,450.0,9062
292,1,0,3.9,543,4,78,2512,300.0,4874
293,1,0,3.7,180,1,19,781,500.0,9062
294,1,0,4.2,444,4,78,2455,100.0,7006
295,1,0,3.9,134,32,78,2659,400.0,7504
296,1,0,3.8,577,32,27,2214,900.0,9062
297,1,0,4.2,60,1,78,2568,200.0,179
298,1,0,3.9,144,32,27,1997,550.0,9062
299,1,0,4.1,787,1,27,950,800.0,9062
300,1,0,3.6,16,4,78,2455,200.0,8128
301,1,0,3.6,84,1,78,2553,250.0,186
302,1,0,3.6,95,1,78,2600,150.0,5849
303,1,1,4.0,349,1,27,2412,1200.0,9062
304,1,0,3.7,248,49,78,2070,400.0,9062
305,1,0,4.1,216,4,19,653,500.0,9062
306,1,0,0.0,0,49,27,403,400.0,9062
307,1,0,4.0,324,1,19,740,700.0,9062
308,1,0,2.6,231,49,78,2000,400.0,7947
309,1,0,3.4,102,84,27,2555,400.0,1291
310,1,0,3.9,133,1,19,713,800.0,9062
311,1,0,2.8,45,1,27,2334,800.0,9062
312,1,0,3.9,149,49,78,1304,300.0,9062
313,1,0,3.8,75,1,78,1295,200.0,9062
314,1,0,4.0,53,68,39,1738,600.0,9062
315,1,1,4.2,815,32,27,1892,900.0,9062
316,1,1,4.0,633,1,27,1892,800.0,9062
317,1,0,3.5,56,32,40,1498,400.0,9062
318,1,0,3.0,82,1,78,2568,300.0,7120
319,1,0,3.7,35,32,78,1254,200.0,9062
320,1,0,3.6,20,4,78,1587,150.0,534
321,1,0,3.1,14,49,78,2508,250.0,9062
322,1,0,3.9,70,1,40,1317,400.0,9062
323,1,0,3.9,91,32,19,709,300.0,9062
324,1,0,3.6,45,32,78,403,200.0,9062
325,1,0,3.4,7,1,78,1892,250.0,9062
326,1,0,3.8,28,1,78,1254,150.0,9062
327,1,0,3.6,24,1,27,1892,600.0,9062
328,1,0,3.8,36,4,40,1225,200.0,9062
329,1,0,3.5,11,32,78,1254,200.0,9062
330,1,0,3.8,77,49,19,665,650.0,9062
331,1,0,3.2,8,1,88,1756,100.0,9062
332,1,0,3.7,14,32,78,2455,100.0,530
